id,customerId,animalId,serviceId,start,end,status,paidAmount
AP1001,20,5,S1,2025-11-15T10:00,2025-11-15T10:45,COMPLETED,45.00
AP1002,21,7,S3,2025-11-15T11:00,2025-11-15T11:30,SCHEDULED,0.00
AP1003,18,3,S2,2025-11-16T09:00,2025-11-16T09:30,COMPLETED,25.00
AP1004,22,11,S4,2025-11-16T13:00,2025-11-16T13:50,CANCELLED,0.00
AP1005,20,5,S1,2025-11-17T14:00,2025-11-17T14:45,SCHEDULED,0.00
AP1006,23,12,S5,2025-11-18T08:30,2025-11-18T09:00,COMPLETED,30.00
AP1007,24,8,S2,2025-11-19T15:00,2025-11-19T15:30,SCHEDULED,0.00
AP1008,21,7,S3,2025-11-20T16:00,2025-11-20T16:30,COMPLETED,40.00
AP1009,25,9,S1,2025-11-21T12:00,2025-11-21T12:40,SCHEDULED,0.00
AP1010,26,10,S4,2025-11-22T10:00,2025-11-22T10:45,COMPLETED,50.00
